Language_ID,Parameter_ID,Value,Name,Family
abi,29A,Syncretic,Abipón,Guaicuruan
abk,29A,Not syncretic,Abkhaz,Northwest Caucasian
aco,29A,Not syncretic,Acoma,Keresan
aeg,29A,Syncretic,Arabic (Egyptian),Afro-Asiatic
ala,29A,Not syncretic,Alamblak,Sepik
ame,29A,Syncretic,Amele,Trans-New Guinea
ana,29A,No subject person/number marking,Araona,Tacanan
apu,29A,Not syncretic,Apurinã,Arawakan
arm,29A,Not syncretic,Armenian (Eastern),Indo-European
arp,29A,Not syncretic,Arapesh (Mountain),Torricelli
asm,29A,Not syncretic,Asmat,Trans-New Guinea
awp,29A,Syncretic,Awa Pit,Barbacoan
aym,29A,Syncretic,Aymara (Central),Aymaran
bag,29A,Syncretic,Bagirmi,Central Sudanic
bam,29A,No subject person/number marking,Bambara,Mande
baw,29A,Not syncretic,Bawm,Sino-Tibetan
bej,29A,Syncretic,Beja,Afro-Asiatic
bkr,29A,Not syncretic,Batak (Karo),Austronesian
bma,29A,Not syncretic,Berber (Middle Atlas),Afro-Asiatic
brh,29A,Not syncretic,Brahui,Dravidian
bri,29A,No subject person/number marking,Bribri,Chibchan
brm,29A,No subject person/number marking,Burmese,Sino-Tibetan
brs,29A,Not syncretic,Barasano,Tucanoan
cah,29A,Not syncretic,Cahuilla,Uto-Aztecan
car,29A,Syncretic,Carib,Cariban
ccp,29A,Not syncretic,Cocopa,Hokan
cha,29A,Not syncretic,Chamorro,Austronesian
chk,29A,Syncretic,Chukchi,Chukotko-Kamchatkan
cle,29A,Syncretic,Chinantec (Lealao),Oto-Manguean
cmn,29A,No subject person/number marking,Comanche,Uto-Aztecan
cnl,29A,Syncretic,Canela,Macro-Ge
coo,29A,Not syncretic,Coos (Hanis),Oregon Coast
cre,29A,Not syncretic,Cree (Plains),Algic
dag,29A,Syncretic,Daga,Dagan
dio,29A,Syncretic,Diola-Fogny,Niger-Congo
dni,29A,Syncretic,Dani (Lower Grand Valley),Trans-New Guinea
dre,29A,No subject person/number marking,Drehu,Austronesian
eka,29A,Syncretic,Ekari,Trans-New Guinea
eng,29A,Syncretic,English,Indo-European
epe,29A,No subject person/number marking,Epena Pedee,Choco
eve,29A,Not syncretic,Evenki,Altaic
ewe,29A,Syncretic,Ewe,Niger-Congo
fij,29A,No subject person/number marking,Fijian,Austronesian
fin,29A,Not syncretic,Finnish,Uralic
fre,29A,Syncretic,French,Indo-European
gar,29A,No subject person/number marking,Garo,Sino-Tibetan
geo,29A,Not syncretic,Georgian,Kartvelian
