Language_ID,Parameter_ID,Value,Name,Family
abk,30A,Three,Abkhaz,Northwest Caucasian
abn,30A,None,Arabana,Pama-Nyungan
abo,30A,Two,Arbore,Afro-Asiatic
aco,30A,None,Acoma,Keresan
aeg,30A,Two,Arabic (Egyptian),Afro-Asiatic
agw,30A,Two,Alagwa,Afro-Asiatic
ala,30A,Two,Alamblak,Sepik
ale,30A,None,Aleut,Eskimo-Aleut
ame,30A,None,Amele,Trans-New Guinea
amh,30A,Two,Amharic,Afro-Asiatic
apu,30A,Two,Apurinã,Arawakan
arc,30A,Four,Archi,Nakh-Daghestanian
arg,30A,Two,Arabic (Gulf),Afro-Asiatic
arm,30A,None,Armenian (Eastern),Indo-European
arp,30A,Five or more,Arapesh (Mountain),Torricelli
asm,30A,None,Asmat,Trans-New Guinea
asy,30A,Two,Arabic (Syrian),Afro-Asiatic
awp,30A,None,Awa Pit,Barbacoan
bab,30A,Five or more,Babungo,Niger-Congo
bag,30A,None,Bagirmi,Central Sudanic
baw,30A,None,Bawm,Sino-Tibetan
bbw,30A,Four,Bininj Gun-Wok,Gunwinyguan
bej,30A,Two,Beja,Afro-Asiatic
bkr,30A,None,Batak (Karo),Austronesian
bma,30A,Two,Berber (Middle Atlas),Afro-Asiatic
brh,30A,None,Brahui,Dravidian
brm,30A,None,Burmese,Sino-Tibetan
brs,30A,Three,Barasano,Tucanoan
bys,30A,Two,Bayso,Afro-Asiatic
cah,30A,None,Cahuilla,Uto-Aztecan
car,30A,None,Carib,Cariban
cax,30A,Two,Campa (Axininca),Arawakan
ccp,30A,None,Cocopa,Hokan
cha,30A,None,Chamorro,Austronesian
chi,30A,None,Chimariko,Hokan
chk,30A,None,Chukchi,Chukotko-Kamchatkan
chv,30A,None,Chuvash,Altaic
cic,30A,Five or more,Chichewa,Niger-Congo
cle,30A,Two,Chinantec (Lealao),Oto-Manguean
cmn,30A,None,Comanche,Uto-Aztecan
cnl,30A,None,Canela,Macro-Ge
cnt,30A,None,Cantonese,Sino-Tibetan
coo,30A,None,Coos (Hanis),Oregon Coast
cre,30A,Two,Cree (Plains),Algic
dag,30A,None,Daga,Dagan
def,30A,Three,Defaka,Ijoid
dio,30A,Five or more,Diola-Fogny,Niger-Congo
diy,30A,Two,Diyari,Pama-Nyungan
diz,30A,Two,Dizi,Afro-Asiatic
djr,30A,None,Djaru,Pama-Nyungan
dni,30A,None,Dani (Lower Grand Valley),Trans-New Guinea
don,30A,None,Dong (Southern),Tai-Kadai
dyi,30A,Four,Dyirbal,Pama-Nyungan
eng,30A,Three,English,Indo-European
epe,30A,None,Epena Pedee,Choco
err,30A,None,Erromangan,Austronesian
eve,30A,None,Evenki,Altaic
ewe,30A,None,Ewe,Niger-Congo
fgu,30A,Five or more,Fula (Guinean),Niger-Congo
fij,30A,None,Fijian,Austronesian
fin,30A,None,Finnish,Uralic
fre,30A,Two,French,Indo-European
gae,30A,Two,Gaelic (Scots),Indo-European
gdi,30A,Four,Godié,Niger-Congo
geo,30A,None,Georgian,Kartvelian
ger,30A,Three,German,Indo-European
god,30A,Three,Godoberi,Nakh-Daghestanian
goo,30A,None,Gooniyandi,Bunuban
grb,30A,Three,Grebo,Niger-Congo
grk,30A,Three,Greek (Modern),Indo-European
grw,30A,None,Greenlandic (West),Eskimo-Aleut
gua,30A,None,Guaraní,Tupian
guu,30A,None,Guugu Yimidhirr,Pama-Nyungan
hat,30A,None,Hatam,West Papuan
hau,30A,Two,Hausa,Afro-Asiatic
haw,30A,None,Hawaiian,Austronesian
hay,30A,None,Hayu,Sino-Tibetan
heb,30A,Two,Hebrew (Modern),Afro-Asiatic
hin,30A,Two,Hindi,Indo-European
hix,30A,Two,Hixkaryana,Cariban
hmo,30A,None,Hmong Njua,Hmong-Mien
hun,30A,None,Hungarian,Uralic
hzb,30A,Five or more,Hunzib,Nakh-Daghestanian
iaa,30A,None,Iaai,Austronesian
ice,30A,Three,Icelandic,Indo-European
igb,30A,None,Igbo,Niger-Congo
ika,30A,None,Ika,Chibchan
imo,30A,None,Imonda,Border
ind,30A,None,Indonesian,Austronesian
ing,30A,Five or more,Ingush,Nakh-Daghestanian
irq,30A,Two,Iraqw,Afro-Asiatic
ite,30A,None,Itelmen,Chukotko-Kamchatkan
jaq,30A,None,Jaqaru,Aymaran
juh,30A,Five or more,Ju|'hoan,Kxa
kam,30A,None,Kambera,Austronesian
kas,30A,Two,Kashmiri,Indo-European
kay,30A,None,Kayardild,Tangkic
ket,30A,Three,Ket,Yeniseian
kew,30A,None,Kewa,Trans-New Guinea
kfe,30A,Three,Koromfe,Niger-Congo
kgz,30A,None,Kirghiz,Altaic
kha,30A,None,Khalkha,Altaic
khk,30A,None,Khakas,Altaic
khl,30A,None,Khalaj,Altaic
khm,30A,None,Khmer,Austro-Asiatic
kho,30A,Three,Nama,Khoe-Kwadi
khs,30A,Two,Khasi,Austro-Asiatic
kis,30A,Five or more,Kisi,Niger-Congo
klv,30A,None,Kilivila,Austronesian
kmu,30A,Two,Khmu',Austro-Asiatic
knd,30A,Three,Kannada,Dravidian
knr,30A,None,Kanuri,Saharan
koa,30A,None,Koasati,Muskogean
kob,30A,None,Kobon,Trans-New Guinea
kol,30A,Two,Kolami,Dravidian
kon,30A,Five or more,Kongo,Niger-Congo
kse,30A,None,Koyraboro Senni,Songhay
lad,30A,None,Ladakhi,Sino-Tibetan
lah,30A,None,Lahu,Sino-Tibetan
lak,30A,Four,Lak,Nakh-Daghestanian
lan,30A,None,Lango,Eastern Sudanic
lat,30A,Two,Latvian,Indo-European
lav,30A,Three,Lavukaleve,Solomons East Papuan
lel,30A,Two,Lele,Afro-Asiatic
lep,30A,None,Lepcha,Sino-Tibetan
lez,30A,None,Lezgian,Nakh-Daghestanian
lin,30A,Five or more,Lingala,Niger-Congo
luv,30A,Five or more,Luvale,Niger-Congo
mac,30A,Two,Macushi,Cariban
mak,30A,None,Makah,Wakashan
mal,30A,None,Malagasy,Austronesian
mao,30A,None,Maori,Austronesian
map,30A,None,Mapudungun,Araucanian
mar,30A,None,Maricopa,Hokan
mau,30A,Five or more,Maung,Iwaidjan
may,30A,Two,Maybrat,West Papuan
mei,30A,None,Meithei,Sino-Tibetan
mhi,30A,Three,Marathi,Indo-European
miy,30A,Two,Miya,Afro-Asiatic
mlt,30A,Two,Maltese,Afro-Asiatic
mnd,30A,None,Mandarin,Sino-Tibetan
mns,30A,None,Mansi,Uralic
mny,30A,None,Margany,Pama-Nyungan
mok,30A,None,Mokilese,Austronesian
mos,30A,Two,Mosetén,Mosetenan
mrd,30A,Four,Marind,Anim
mrl,30A,None,Murle,Eastern Sudanic
mrt,30A,None,Martuthunira,Pama-Nyungan
mss,30A,None,Miwok (Southern Sierra),Penutian
mun,30A,Two,Mundari,Austro-Asiatic
mxc,30A,Five or more,Mixtec (Chalcatongo),Oto-Manguean
myi,30A,Three,Mangarrayi,Mangarrayi-Maran
nbd,30A,None,Nubian (Dongolese),Eastern Sudanic
nca,30A,Three,Nicobarese (Car),Austro-Asiatic
ndy,30A,None,Ndyuka,other
nez,30A,None,Nez Perce,Penutian
